KO_fag	KO_NoFag	KO_fag	KO_NoFag	KO_fag	KO_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag
ENSMUSG00000026058	0.880481558725183	0.491175357653525	1.49813842632261	1.71360927800255	0.401184075195975	1.35004951966799	0.166366856861764	0.268181694300502	1.39710117851095	0.96213068430427	1.31131158575684	1.30870613215313
ENSMUSG00000104313	3.6161859945023	3.74862751331572	3.15541064310097	3.68925010765972	3.13688851097309	3.11969048704476	2.90207129263888	3.00388613007762	2.96938353764873	3.18964789563632	3.14174363768975	3.21700052893702
ENSMUSG00000026134	3.47111605646077	3.44979361576381	3.32914559547059	3.66307410563187	3.34987170569549	3.70527007835789	3.03660724643816	3.67003880466909	3.26569100396388	3.3775811543062	3.93788992979391	3.77211012473817
ENSMUSG00000102714	1.99354858956602	2.23390022110841	2.16243107077874	2.08190556245749	2.66178649792822	2.12671091472253	1.90909172031665	2.65848095493824	2.67234478237666	2.19666832331409	2.67127087181887	2.2240209566148
ENSMUSG00000004768	1.63016754607841	1.70809276725208	2.71970565469002	2.88961151269375	1.91282825869668	1.25922270332798	0.479176433321804	2.28857290305647	1.24242949538181	1.27494026076431	1.92633380983263	2.14403351290643
ENSMUSG00000042215	2.63073272573584	2.76317424454925	2.97000615643453	2.70379683889326	2.15143524220663	2.13423721827829	1.91661802387242	2.666007258494	1.98393026888227	3.3848427695048	2.67879717537463	2.23154726017056
ENSMUSG00000042197	3.60823393306108	4.20325301535107	3.78157761976148	4.1212767658413	3.17149118514874	4.12273059729773	3.12256156965536	3.20240404569134	3.35561398008755	3.46423846174435	3.24839085531929	2.98765125826907
ENSMUSG00000042182	3.24112564018646	3.74839971206419	3.697218409132	2.54243884168356	4.14543069491425	3.73150539734496	2.94909861548625	2.5046492612843	2.51851308872272	4.17314014352496	4.63587447218203	4.56766911395693
ENSMUSG00000026131	4.72991254327402	4.90091349571897	4.36142975102321	4.72161702055285	4.12012975097032	4.54828920938125	3.20319096922548	3.73203743616437	3.07068388151093	4.12937942661614	3.91230648420398	4.21136772585995
ENSMUSG00000103596	2.99040859683188	2.60110239576022	3.32968202753057	2.44910773710929	3.02898867258002	2.49391308937433	3.47013248379199	2.3781087324072	3.03954695702846	2.56387049796589	3.42123862386353	2.5912231312666
ENSMUSG00000103364	6.05318166818412	5.10852008227844	5.8870498175143	5.82043915470003	5.00890570867336	5.62599297331382	3.48287907882745	4.57523814161225	5.0718316383975	5.75150462104759	4.86098321622233	4.43069875146221
ENSMUSG00000096992	2.75792961424274	2.50098033464926	2.60383557017984	3.0880580074357	2.02475877833056	3.0292172407012	1.27206400071899	2.02145323534058	2.85530133533439	2.44288911969834	2.71922137722982	2.41440327601036
ENSMUSG00000103001	4.36220777835756	3.53602516639271	3.46455601606303	4.42791251588905	3.44603388393516	3.99126293560713	3.21121666560095	3.31303150303969	3.97446972766095	4.00698049304346	3.97339581710316	3.52614590189909
ENSMUSG00000101462	2.68944956696919	2.30014336589753	3.54036332294541	3.19203071539387	2.21015208343998	3.159017527912	1.97533486510577	3.17007718553608	3.20606918675495	3.90043354883356	3.12027959400084	4.02296339414741
ENSMUSG00000102336	3.23941959627088	3.84647609882371	3.7656647756666	3.9374217346483	2.77721721937105	4.04052014993224	3.503510114106	3.72131359817874	3.36686369423159	4.34400443601186	3.76343869734516	4.44863408907745
ENSMUSG00000042111	6.24711181923047	6.27720955637618	6.2019910622547	6.43717400887856	6.64337270236445	6.33646556357959	6.572568436794	5.34931294085887	5.8544031482099	6.93755256167721	6.19439003721418	6.60780708005294
