KO_fag	KO_NoFag	WT_fag	WT_NoFag
ENSMUSG00000051223	7.05071239731922	6.62048572354501	6.82865579905797	6.75179969483153
ENSMUSG00000026034	6.67317014577818	7.07160475193387	5.89771859446141	6.66524101937385
ENSMUSG00000026035	4.35724125868792	4.71572240621913	4.23471296236959	4.34479921705846
ENSMUSG00000026036	2.78773644914132	3.56054478660423	3.37024560003966	3.48788934847905
ENSMUSG00000026037	4.96344969957157	5.07548335586816	4.8680235277604	5.0552864653617
ENSMUSG00000085054	2.26698638516121	2.29092312949021	1.42176651335778	2.04703393120863
ENSMUSG00000038174	2.51871615118943	2.29718284813693	1.95348846479182	2.15250742353307
ENSMUSG00000026032	6.86986312782286	6.37419918049486	7.35505158953865	6.93270217887238
ENSMUSG00000047528	2.32367560702103	2.00292334078508	2.08272745511857	2.45919957776113
ENSMUSG00000102059	4.010335401223	4.06614019395754	4.66688743763092	4.25752368774786
ENSMUSG00000026031	5.30089725055565	5.48581771415524	5.02180959530586	5.14891630072268
ENSMUSG00000026029	6.44518856715855	6.47885244618238	5.98988235496029	6.38501137134089
ENSMUSG00000102719	4.2816416380146	4.27156996399076	4.11988496528535	4.47152390759259
ENSMUSG00000099719	4.02263468452283	4.24009800447706	4.19879858450075	4.05885230087021
ENSMUSG00000026028	3.26166027878188	2.82599184786359	3.13473360570201	2.86135433965197
ENSMUSG00000026027	3.37730040410829	3.84739595275174	2.86736902436723	3.60079860074068
ENSMUSG00000072295	0.792302824220663	1.22184918527695	1.37410673046534	1.1192780553116
ENSMUSG00000038079	4.65785346872428	4.69444891621924	4.34126859634428	4.14488595086802
ENSMUSG00000097573	2.73231808915798	2.77282262995872	2.68386397007106	2.55194662231966
ENSMUSG00000079550	0.89821096208226	1.15017745315674	1.02627956554038	1.53131636022079
ENSMUSG00000101586	2.65360920699928	3.11176443895237	3.38514111857181	2.69433194384683
ENSMUSG00000026024	3.30406982856301	3.011366410335	3.49287701466094	2.3988461080206
ENSMUSG00000041075	2.90907811079838	3.0456281928077	2.78556523800225	2.93761796652614
ENSMUSG00000097819	1.8757143132887	1.92398205438059	2.42328425750789	2.56949993758705
ENSMUSG00000026021	5.18061006354313	5.35712544731215	5.5449854395421	5.29770551373459
ENSMUSG00000103821	3.18293029031107	3.07551036814943	2.72382930241985	3.10492446053125
ENSMUSG00000026020	5.32793627379817	4.9213071773722	5.04277394140783	5.24555100021082
ENSMUSG00000077345	7.58135523190399	7.51448079091604	7.63042212575134	7.49854557643802
ENSMUSG00000067336	3.18187608965584	3.50678473611429	3.28815232229033	3.39453228394146
ENSMUSG00000104052	2.29170475791994	2.1985275415038	2.45048578583241	2.4744774574412
